date,influenza vaccine,isPartial
2021-09-12,69,False
2021-09-19,71,False
2021-09-26,83,False
2021-10-03,78,False
2021-10-10,76,False
2021-10-17,67,False
2021-10-24,64,False
2021-10-31,58,False
2021-11-07,58,False
2021-11-14,58,False
2021-11-21,38,False
2021-11-28,47,False
2021-12-05,51,False
2021-12-12,40,False
2021-12-19,35,False
2021-12-26,33,False
2022-01-02,41,False
2022-01-09,38,False
2022-01-16,38,False
2022-01-23,36,False
2022-01-30,31,False
2022-02-06,32,False
2022-02-13,34,False
2022-02-20,30,False
2022-02-27,38,False
2022-03-06,40,False
2022-03-13,30,False
2022-03-20,34,False
2022-03-27,35,False
2022-04-03,38,False
2022-04-10,34,False
2022-04-17,35,False
2022-04-24,36,False
2022-05-01,31,False
2022-05-08,29,False
2022-05-15,24,False
2022-05-22,28,False
2022-05-29,21,False
2022-06-05,22,False
2022-06-12,24,False
2022-06-19,24,False
2022-06-26,23,False
2022-07-03,22,False
2022-07-10,25,False
2022-07-17,25,False
2022-07-24,29,False
2022-07-31,33,False
2022-08-07,31,False
2022-08-14,33,False
2022-08-21,37,False
2022-08-28,42,False
2022-09-04,43,False
2022-09-11,51,False
2022-09-18,53,False
2022-09-25,58,False
2022-10-02,62,False
2022-10-09,63,False
2022-10-16,59,False
2022-10-23,57,False
2022-10-30,59,False
2022-11-06,52,False
2022-11-13,58,False
2022-11-20,44,False
2022-11-27,56,False
2022-12-04,69,False
2022-12-11,50,False
2022-12-18,37,False
2022-12-25,28,False
2023-01-01,29,False
2023-01-08,36,False
2023-01-15,31,False
2023-01-22,33,False
2023-01-29,33,False
2023-02-05,32,False
2023-02-12,33,False
2023-02-19,34,False
2023-02-26,33,False
2023-03-05,32,False
2023-03-12,29,False
2023-03-19,30,False
2023-03-26,29,False
2023-04-02,30,False
2023-04-09,28,False
2023-04-16,34,False
2023-04-23,33,False
2023-04-30,29,False
2023-05-07,30,False
2023-05-14,26,False
2023-05-21,29,False
2023-05-28,22,False
2023-06-04,24,False
2023-06-11,26,False
2023-06-18,28,False
2023-06-25,22,False
2023-07-02,24,False
2023-07-09,27,False
2023-07-16,25,False
2023-07-23,25,False
2023-07-30,26,False
2023-08-06,27,False
2023-08-13,30,False
2023-08-20,35,False
2023-08-27,37,False
2023-09-03,41,False
2023-09-10,53,False
2023-09-17,58,False
2023-09-24,62,False
2023-10-01,63,False
2023-10-08,57,False
2023-10-15,56,False
2023-10-22,50,False
2023-10-29,51,False
2023-11-05,47,False
2023-11-12,48,False
2023-11-19,40,False
2023-11-26,54,False
2023-12-03,45,False
2023-12-10,41,False
2023-12-17,37,False
2023-12-24,25,False
2023-12-31,34,False
2024-01-07,34,False
2024-01-14,34,False
2024-01-21,35,False
2024-01-28,36,False
2024-02-04,36,False
2024-02-11,30,False
2024-02-18,35,False
2024-02-25,33,False
2024-03-03,33,False
2024-03-10,29,False
2024-03-17,29,False
2024-03-24,32,False
2024-03-31,29,False
2024-04-07,31,False
2024-04-14,32,False
2024-04-21,32,False
2024-04-28,35,False
2024-05-05,26,False
2024-05-12,27,False
2024-05-19,24,False
2024-05-26,24,False
2024-06-02,27,False
2024-06-09,25,False
2024-06-16,22,False
2024-06-23,23,False
2024-06-30,26,False
2024-07-07,30,False
2024-07-14,29,False
2024-07-21,29,False
2024-07-28,30,False
2024-08-04,29,False
2024-08-11,30,False
2024-08-18,36,False
2024-08-25,44,False
2024-09-01,49,False
2024-09-08,54,False
2024-09-15,56,False
2024-09-22,58,False
2024-09-29,59,False
2024-10-06,56,False
2024-10-13,54,False
2024-10-20,57,False
2024-10-27,47,False
2024-11-03,43,False
2024-11-10,52,False
2024-11-17,45,False
2024-11-24,37,False
2024-12-01,43,False
2024-12-08,39,False
2024-12-15,35,False
2024-12-22,31,False
2024-12-29,36,False
2025-01-05,40,False
2025-01-12,44,False
2025-01-19,43,False
2025-01-26,52,False
2025-02-02,60,False
2025-02-09,52,False
2025-02-16,58,False
2025-02-23,52,False
2025-03-02,47,False
2025-03-09,42,False
2025-03-16,38,False
2025-03-23,34,False
2025-03-30,40,False
2025-04-06,43,False
2025-04-13,36,False
2025-04-20,34,False
2025-04-27,33,False
2025-05-04,30,False
2025-05-11,31,False
2025-05-18,31,False
2025-05-25,29,False
2025-06-01,31,False
2025-06-08,30,False
2025-06-15,27,False
2025-06-22,29,False
2025-06-29,29,False
2025-07-06,30,False
2025-07-13,34,False
2025-07-20,53,False
2025-07-27,68,False
2025-08-03,38,False
2025-08-10,38,False
2025-08-17,36,False
2025-08-24,40,False
2025-08-31,41,False
2025-09-07,53,False
2025-09-14,53,False
2025-09-21,58,False
2025-09-28,59,False
2025-10-05,61,False
2025-10-12,57,False
2025-10-19,55,False
2025-10-26,59,False
2025-11-02,74,False
2025-11-09,69,False
2025-11-16,77,False
2025-11-23,71,False
2025-11-30,77,False
2025-12-07,78,False
2025-12-14,85,False
2025-12-21,78,False
2025-12-28,88,False
2026-01-04,88,False
2026-01-11,69,False
2026-01-18,70,False
2026-01-25,76,False
2026-02-01,85,False
2026-02-08,69,False
2026-02-15,100,False
2026-02-22,74,False
2026-03-01,88,False
2026-03-08,65,False
2026-03-15,89,False
2026-03-22,67,False
2026-03-29,61,False
2026-04-05,74,False
2026-04-12,66,False
2026-04-19,64,False
2026-04-26,59,False
2026-05-03,56,False
2026-05-10,50,False
2026-05-17,57,False
2026-05-24,54,False
2026-05-31,84,False
2026-06-07,79,False
2026-06-14,72,False
2026-06-21,64,False
2026-06-28,53,False
2026-07-05,56,False
2026-07-12,45,False
2026-07-19,40,False
2026-07-26,31,False
2026-08-02,35,False
2026-08-09,50,False
2026-08-16,41,False
2026-08-23,47,False
2026-08-30,46,False
2026-09-06,45,False
2026-09-13,55,True
