date,stomach flu,isPartial
2021-09-12,18,False
2021-09-19,18,False
2021-09-26,17,False
2021-10-03,20,False
2021-10-10,21,False
2021-10-17,20,False
2021-10-24,22,False
2021-10-31,23,False
2021-11-07,24,False
2021-11-14,27,False
2021-11-21,30,False
2021-11-28,35,False
2021-12-05,35,False
2021-12-12,38,False
2021-12-19,46,False
2021-12-26,49,False
2022-01-02,41,False
2022-01-09,33,False
2022-01-16,28,False
2022-01-23,30,False
2022-01-30,31,False
2022-02-06,38,False
2022-02-13,43,False
2022-02-20,43,False
2022-02-27,48,False
2022-03-06,48,False
2022-03-13,54,False
2022-03-20,49,False
2022-03-27,43,False
2022-04-03,50,False
2022-04-10,44,False
2022-04-17,43,False
2022-04-24,40,False
2022-05-01,35,False
2022-05-08,36,False
2022-05-15,33,False
2022-05-22,30,False
2022-05-29,29,False
2022-06-05,24,False
2022-06-12,21,False
2022-06-19,21,False
2022-06-26,20,False
2022-07-03,20,False
2022-07-10,18,False
2022-07-17,18,False
2022-07-24,16,False
2022-07-31,16,False
2022-08-07,15,False
2022-08-14,15,False
2022-08-21,16,False
2022-08-28,17,False
2022-09-04,17,False
2022-09-11,19,False
2022-09-18,19,False
2022-09-25,19,False
2022-10-02,23,False
2022-10-09,26,False
2022-10-16,28,False
2022-10-23,32,False
2022-10-30,39,False
2022-11-06,35,False
2022-11-13,42,False
2022-11-20,48,False
2022-11-27,49,False
2022-12-04,51,False
2022-12-11,52,False
2022-12-18,54,False
2022-12-25,62,False
2023-01-01,43,False
2023-01-08,40,False
2023-01-15,42,False
2023-01-22,41,False
2023-01-29,43,False
2023-02-05,50,False
2023-02-12,55,False
2023-02-19,57,False
2023-02-26,54,False
2023-03-05,46,False
2023-03-12,49,False
2023-03-19,45,False
2023-03-26,42,False
2023-04-02,40,False
2023-04-09,40,False
2023-04-16,33,False
2023-04-23,33,False
2023-04-30,31,False
2023-05-07,31,False
2023-05-14,30,False
2023-05-21,30,False
2023-05-28,28,False
2023-06-04,25,False
2023-06-11,24,False
2023-06-18,23,False
2023-06-25,21,False
2023-07-02,20,False
2023-07-09,19,False
2023-07-16,16,False
2023-07-23,16,False
2023-07-30,16,False
2023-08-06,17,False
2023-08-13,15,False
2023-08-20,16,False
2023-08-27,16,False
2023-09-03,19,False
2023-09-10,18,False
2023-09-17,20,False
2023-09-24,21,False
2023-10-01,21,False
2023-10-08,23,False
2023-10-15,25,False
2023-10-22,26,False
2023-10-29,27,False
2023-11-05,30,False
2023-11-12,34,False
2023-11-19,36,False
2023-11-26,40,False
2023-12-03,40,False
2023-12-10,46,False
2023-12-17,58,False
2023-12-24,66,False
2023-12-31,52,False
2024-01-07,43,False
2024-01-14,43,False
2024-01-21,44,False
2024-01-28,42,False
2024-02-04,41,False
2024-02-11,41,False
2024-02-18,47,False
2024-02-25,44,False
2024-03-03,41,False
2024-03-10,42,False
